"company_name","business_state","sic_code","phone_number","website","business_categories","business_city","business_country","business_zip_code","closed_on","opening_hours","closing_hours","latitude","longitude","location_type","year_established","avg_opening_hour","avg_closing_hour","business_street_name","description","services","links","estimated_annual_revenue","num_employees","review_count","reviews","owner","manta_link","url","company_id"
"1280 Ute LLC","Colorado","6512","970***116***","http://www.aiare.info","[""Real Estate"",""Operators of Nonresidential Buildings"",""Office Buildings and Parks""]","Aspen","United States","81611",,,,39.180964,-106.811086,"Single Location",2007,,,"1280 South Ute Avenue # 16","Categorized under Office Buildings and Parks. Our records show it was established in 2007 and incorporated in CO. Current estimates show this company has an annual revenue of 195762 and employs a staff of approximately 3.",,,"195762","3",,,"Eri***ars***","https://www.manta.com/c/mmy8tlt/1280-ute-llc","https://www.manta.com/c/mmy8tlt/1280-ute-llc","mmy8tlt"
"Cody Lensing Attorney","Montana","8111","406***422***","null","[""Legal"",""Legal Services"",""Lawyers and Attorneys""]","Glendive","United States","59330",,,,47.103618,-104.714284,"Single Location",2014,,,"100 South Merrill Avenue","Categorized under Lawyers and Attorneys. Current estimates show this company has an annual revenue of 57873 and employs a staff of approximately 2.",,,"57873","2",,,"Cod***ens***","https://www.manta.com/c/mbdy832/cody-lensing-attorney","https://www.manta.com/c/mbdy832/cody-lensing-attorney","mbdy832"
"Gainwell Mechanical","North Carolina","1711","919***644***","null","[""Consumer Products and Services"",""Plumbing, Heating, and Air-Conditioning"",""Mechanical Contractors""]","Clayton","United States","27520",,,,35.6348,-78.451,"Unknown",2011,,,"8368 Us 70 Bus Highway West","Categorized under Mechanical Contractors. Our records show it was established in 2011 and incorporated in North Carolina. Current estimates show this company has an annual revenue of $500,000 to $1 million and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,,"https://www.manta.com/c/mrydd3p/gainwell-mechanical","https://www.manta.com/c/mrydd3p/gainwell-mechanical","mrydd3p"
"Savarese John","Massachusetts","9999","781***910***","null","[""Nonclassifiable establishments"",""Nonclassifiable establishments"",""Nonclassified Establishments""]","Waltham","United States","02453",,,,42.3626126,-71.2334781,"Unknown",,,,"49 Fuller Street","Categorized under Nonclassified Establishments. Current estimates show this company has an annual revenue of unknown and employs a staff of approximately unknown.",,,,"UNKNOWN",,,"Joh***ava***e","https://www.manta.com/c/mb87lq9/savarese-john","https://www.manta.com/c/mb87lq9/savarese-john","mb87lq9"
"Sarsfields","Massachusetts","5812","617***231***","null","[""Restaurants and Bars"",""Restaurants"",""Restaurants""]","Quincy","United States","02169",,,,42.2466106,-71.0007599,"unknown",2007,,,"1464 Hancock Street null","Categorized under Restaurants. Our records show it was established in 2007 and incorporated in Massachusetts. ",,,,,,,"Dec*** Ke***","https://www.manta.com/c/mm094d4/sarsfields","https://www.manta.com/c/mm094d4/sarsfields","mm094d4"
"Caw Security Services","California","6211","818***343***","null","[""Financial"",""Security Brokers, Dealers, and Flotation Companies"",""Security Dealers""]","North Hollywood","United States","91606",,,,34.1091408,-118.3699804,"unknown",1996,,,"6331 Laurel Canyon Boulevard null","Categorized under Security Guard and Patrol Services. Our records show it was established in 1996 and incorporated in California. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,"C W***ot","https://www.manta.com/c/mm231zd/caw-security-services","https://www.manta.com/c/mm231zd/caw-security-services","mm231zd"
"Diamond Black Exteriors","California","3211","818***999***","http://www.diamondblackexteriors.com","[""Chemical Materials"",""Flat Glass"",""Window Glass, Clear and Colored""]","North Hollywood","United States","91605",,,,34.2057,-118.4001,"Single Location",2011,,,"7445 Laurel Canyon Boulevard C","Categorized under Window Glass, Clear and Colored. Our records show it was established in 2011 and incorporated in California. Current estimates show this company has an annual revenue of 180000 and employs a staff of approximately 2.",,,"180000","2",,,,"https://www.manta.com/c/mby2x59/diamond-black-exteriors","https://www.manta.com/c/mby2x59/diamond-black-exteriors","mby2x59"
"Judicial Options","California","2899","951***811***","http://www.judicialoptions.com","[""Chemical Materials"",""Chemicals and Chemical Preparations, NEC"",""Drug Testing Kits, Blood and Urine""]","Hemet","United States","92545",,,,33.7513489,-116.9931831,"Single Location",2010,,,"305 Calle Nogales","Categorized under Drug Testing Kits, Blood and Urine. Our records show it was established in 2010 and incorporated in CA. Current estimates show this company has an annual revenue of 166042 and employs a staff of approximately 2.",,,"166042","2",,,"Bah***E W***on","https://www.manta.com/c/mb0y1c3/judicial-options","https://www.manta.com/c/mb0y1c3/judicial-options","mb0y1c3"
"Joseph Dupard Real Estate","Louisiana","6512","225***616***","http://www.dupardsells.com","[""Real Estate"",""Operators of Nonresidential Buildings"",""Property Operation, Retail Establishment""]","Baton Rouge","United States","70809",,,,30.389351,-91.0925263,"unknown",2010,,,"5025 Bluebonnet Boulevard null","Categorized under Real Estate Buyers Representatives. Our records show it was established in 2010 and incorporated in Louisiana. Current estimates show this company has an annual revenue of 110000 and employs a staff of approximately 2.",,,"110000","2",,,"Jos*** Du***d","https://www.manta.com/c/mrsyt6w/joseph-dupard-real-estate","https://www.manta.com/c/mrsyt6w/joseph-dupard-real-estate","mrsyt6w"
"New York Advance Electric System","New York","1731","347***148***","http://ushomeservices.us/electrician",,"New York","United States","10011","{""friday"":false,""monday"":false,""saturday"":false,""sunday"":false,""wednesday"":false}","[""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM""]","[""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM"",""12:00 AM""]",40.737471,-73.99765699999999,"unknown",,"12:00 AM","12:00 AM","110 W 14th St Fl 2","Our Technicians are more than capable of handling your Electrical problems, Our Electricians have gained a lot of experience.
We Offer Electricians, Electrical Contractor, Commercial Electrician, Electrical Services, Residential Electrician, Electrical Maintenance Services, Electrical Installation Services, Residential Electrical Wiring Services, Any Electric Upgrade or Maintenance All services related Electricity. Call us any time on  3475181481","[""Electricians , Electric Contractors"",""Controls, Control Systems & Regulators , Electric Equipment Repair & Service""]",,,,,,"sho***es ***ali***","https://www.manta.com/c/mk7df5m/new-york-advance-electric-system","https://www.manta.com/c/mk7df5m/new-york-advance-electric-system","mk7df5m"
"Ashwood Home","Minnesota","1521","320***729***","null","[""Construction"",""General Contractors-Single-Family Houses"",""Home Improvements""]","Alexandria","United States","56308",,,,45.8963955,-95.3618786,"unknown",1994,,,"1105 Glendale Avenue null","Categorized under Rooming and Boarding Houses. Our records show it was established in 1994 and incorporated in Minnesota. Current estimates show this company has an annual revenue of 63720 and employs a staff of approximately 2.",,,"63720","2",,,"Dia***Ste***","https://www.manta.com/c/mm0gjvj/ashwood-home","https://www.manta.com/c/mm0gjvj/ashwood-home","mm0gjvj"
"Wesselhoeft Inc","Alabama","3441","205***221***","http://Bwheads.com","[""Fabrication"",""Fabricated Structural Metal"",""Steel-Structural Manufacturers""]","Moundville","United States","35474",,,,32.9108,-87.5935,"Unknown",,,,"12989 Cracker Road","Categorized under Steel-Structural Manufacturers. Current estimates show this company has an annual revenue of $2.5 to 5 million and employs a staff of approximately 10 to 19.",,,,"10 to 19",,,"Ann***mal***","https://www.manta.com/c/mth6ndk/wesselhoeft-inc","https://www.manta.com/c/mth6ndk/wesselhoeft-inc","mth6ndk"
"Wright's Grading Services Inc","Georgia","0781","706***916***","null","[""Agriculture"",""Landscape Counseling and Planning"",""Landscape Designers""]","Rome","United States","30161",,,,34.276859,-85.165757,"Single Location",1979,,,"31 Riverside Indus Park North","Categorized under Landscape Designers. Our records show it was established in 1979 and incorporated in GA. Current estimates show this company has an annual revenue of 290000 and employs a staff of approximately 4.",,,"290000","4",,,"Fra***Wri***","https://www.manta.com/c/mmj1ypl/wright-s-grading-services-inc","https://www.manta.com/c/mmj1ypl/wright-s-grading-services-inc","mmj1ypl"
"Aguilar Welding","Texas","7692","******","null","[""Consumer Services"",""Welding Repair"",""Welding""]","Odessa","United States","79763",,,,31.8616424,-102.4059819,"Single Location",2007,,,"2648 Santa Rosa Avenue","Categorized under Welding. Our records show it was established in 2007 and incorporated in Texas. Current estimates show this company has an annual revenue of 79000 and employs a staff of approximately 1.",,,"79000","1",,,"Pat***ia ***gui******","https://www.manta.com/c/mmyt9l5/aguilar-welding","https://www.manta.com/c/mmyt9l5/aguilar-welding","mmyt9l5"
"Dehydration LLC","North Carolina","2034","252***820***","null","[""Food"",""Dried and Dehydrated Fruits, Vegetables, and Soup Mixes"",""Dehydrating Services""]","Snow Hill","United States","28580",,,,35.428295,-77.663784,"Single Location",2015,,,"963 Highway 258 South","Categorized under Dehydrating Services. Current estimates show this company has an annual revenue of 128155 and employs a staff of approximately 2.",,,"128155","2",,,,"https://www.manta.com/c/mkk100v/dehydration-llc","https://www.manta.com/c/mkk100v/dehydration-llc","mkk100v"
"Fantasy Pet Products","Michigan","5999","248***067***","http://www.fantasypetproducts.com","[""Shopping"",""Miscellaneous Retail Stores, NEC"",""Pet Supplies""]","Troy","United States","48083",,,,42.5463952,-83.1088033,"unknown",2008,,,"1872 Ring Drive null","Categorized under Pet Shops. Our records show it was established in 2008 and incorporated in Michigan. Current estimates show this company has an annual revenue of $500,000 to $1 million and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,,"https://www.manta.com/c/mm7m0g6/fantasy-pet-products","https://www.manta.com/c/mm7m0g6/fantasy-pet-products","mm7m0g6"
"Griswold Nancy","Washington","8049","509***650***","null","[""Healthcare"",""Offices and Clinics of Health Practitioners, NEC"",""Nurses and Nurses' Registries""]","Spokane","United States","99203",,,,47.628135,-117.3788867,"Unknown",,,,"2214 East 29th Avenue","Categorized under Nurses and Nurses' Registries. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,"Nan***Gri***ld","https://www.manta.com/c/mbd91ng/griswold-nancy","https://www.manta.com/c/mbd91ng/griswold-nancy","mbd91ng"
"Bethany Home","Washington","8059","509***058***","http://www.sp.bestflowers.com","[""Healthcare"",""Nursing Facilities"",""Rest Homes""]","Spokane","United States","99206",,,,47.6969,-117.282525,"Single Location",1924,,,"9111 East Upriver Drive","Categorized under Rest Homes. Our records show it was established in 1924 and incorporated in Washington. Current estimates show this company has an annual revenue of 527832 and employs a staff of approximately 13.",,,"527832","13",,,"Syl*** Sm***","https://www.manta.com/c/mm6prwg/bethany-home","https://www.manta.com/c/mm6prwg/bethany-home","mm6prwg"
"Mdg Barber Inc","Florida","7241","240***873***","null","[""Consumer Services"",""Barber Shops"",""Barbers""]","Navarre","United States","32566",,,,30.430554,-86.916872,"Single Location",2007,,,"2591 Hidden Estates Circle","Categorized under Barbers. Our records show it was established in 2007 and incorporated in FL. Current estimates show this company has an annual revenue of 79958 and employs a staff of approximately 2.",,,"79958","2",,,"Mic***l D***ols***","https://www.manta.com/c/mhxjf0y/mdg-barber-inc","https://www.manta.com/c/mhxjf0y/mdg-barber-inc","mhxjf0y"
"Kirk S Painting LLC","Ohio","1721","614***868***","http://www.kirkspainting.com","[""Construction"",""Painting and Paper Hanging"",""Residential Painters""]","Grove City","United States","43123",,,,39.8913709,-83.0789934,"Single Location",2009,,,"3527 Southwest Court","Categorized under Residential Painters. Our records show it was established in 2009 and incorporated in Ohio. Current estimates show this company has an annual revenue of 235648 and employs a staff of approximately 3.",,,"235648","3",,,"Joh***irk***","https://www.manta.com/c/mtwynvl/kirk-s-painting-llc","https://www.manta.com/c/mtwynvl/kirk-s-painting-llc","mtwynvl"
"Custom Group","Florida","8741","954***475***","http://www.customgroupgc.com","[""Professional Services"",""Management Services"",""Construction Management""]","Deerfield Beach","United States","33442",,,,26.2973385,-80.1508219,"unknown",2011,,,"3458 SW 15th Street null","Categorized under Concrete Repairs. Our records show it was established in 2011 and incorporated in Florida. Current estimates show this company has an annual revenue of 631103 and employs a staff of approximately 3.",,,"631103","3",,,"Ala***osh***","https://www.manta.com/c/mryldz6/custom-group","https://www.manta.com/c/mryldz6/custom-group","mryldz6"
"Spiced Up Brands LLC","Ohio","4215","440***675***","null","[""Car Rental"",""Courier Services Except by Air"",""Vehicular Package Delivery""]","Mentor","United States","44060",,,,41.651748,-81.379521,"Single Location",2019,,,"7329 Mentor Avenue","Categorized under Vehicular Package Delivery. Current estimates show this company has an annual revenue of 54462 and employs a staff of approximately 1.",,,"54462","1",,,,"https://www.manta.com/c/mk1rypf/spiced-up-brands-llc","https://www.manta.com/c/mk1rypf/spiced-up-brands-llc","mk1rypf"
"Allied Commercial & Residential Builders","Ohio","5039","419***616***","http://www.alliedcommercialandresidentialbuilder.com","[""Construction"",""Construction Materials, NEC"",""Construction Materials, Nec""]","Mansfield","United States","44902",,,,40.7456251,-82.5148628,"unknown",2005,,,"455 Hammond Avenue null","Categorized under Commercial and Office Building Contractors. Our records show it was established in 2005 and incorporated in OH. Current estimates show this company has an annual revenue of 700000 and employs a staff of approximately 3.",,,"700000","3",,,"Jef***y S***er","https://www.manta.com/c/mmnwf7c/allied-commercial-residential-builders","https://www.manta.com/c/mmnwf7c/allied-commercial-residential-builders","mmnwf7c"
"Medicare Insurance Advisors Center","Colorado","6321","(80***615***52","http://www.medicareinsurance-advisors.com/",,"Center","United States","66014","{""friday"":false,""monday"":false,""saturday"":false,""sunday"":false,""wednesday"":false}","[""8:00 AM"",""8:00 AM"",""8:00 AM"",""8:00 AM"",""8:00 AM"",""8:00 AM"",""8:00 AM""]","[""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM""]",39.7852313,-104.9144676,"unknown",,"8:00 AM","9:00 PM","200 Locust St","Medicare is the federal health insurance program
Medicare is the federal health insurance program for people who are at least 65 years old or older and also for people even under 65 years old but with disabilities. These plans are offered by insurance companies and other private companies approved by Medicare. Here in Medicare, a government health insurance program can offer wide coverage. Having this kind of health plan is a big privilege most especially for seniors because this can help them provide hospital and medical coverage. You can also be qualified for an Extra Help Program if you have only a limited income and cannot afford medications. If you�re eligible for Medicare and ready to explore your options, find a plan that works for you.",,,,,,,"Ida***a Z***sa","https://www.manta.com/c/mkbrqgq/medicare-insurance-advisors-center","https://www.manta.com/c/mkbrqgq/medicare-insurance-advisors-center","mkbrqgq"
"John S Price","Ohio","0211","419***748***","null","[""Agriculture"",""Beef Cattle Feedlots"",""Livestock Feeding""]","Mendon","United States","45862",,,,40.713445,-84.485781,"Single Location",1973,,,"8290 State Route 117","Categorized under Livestock Feeding. Our records show it was established in 1973 and incorporated in Ohio. Current estimates show this company has an annual revenue of 70199 and employs a staff of approximately 1.",,,"70199","1",,,"Joh*** Pr***","https://www.manta.com/c/mtmgyw4/john-s-price","https://www.manta.com/c/mtmgyw4/john-s-price","mtmgyw4"
"Monster Power Washing","Virginia","1799","(54***988***55","http://roanokepowerwashing.com","[""Construction"",""Special Trade Contractors, NEC"",""Pressure Washers""]","Roanoke","United States","24018","{""friday"":false,""monday"":false,""saturday"":false,""sunday"":true,""wednesday"":false}","[""CLOSED"",""7:30 AM"",""7:30 AM"",""7:30 AM"",""7:30 AM"",""7:30 AM"",""7:30 AM""]","[""CLOSED"",""7:30 PM"",""7:30 PM"",""7:30 PM"",""7:30 PM"",""7:30 PM"",""7:30 PM""]",37.3245759,-79.9921659,"unknown",,"7:30 AM","7:30 PM","Service Area","Monster Power Washing is a Commercial Power Washing Company in Roanoke, VA 24018
Monster Power Washing is your professional power washing company in Roanoke, VA. When you choose us, you can get the best customer service, the best equipment, and the best quality. After all, we are committed to providing exceptional pressure washing services. You may be tempted to rent a pressure washer at your local hardware store and give your home, driveway, and fence a deep cleaning all on your own. However, it is better to call Monster Power Washing!","[""Power Washing"",""Pressure Washing"",""Deck Cleaning"",""Commercial Pressure Washing"",""Residential Pressure Washing"",""Exterior House Cleaning"",""Roof Pressure Washing"",""Commercial Power Washing"",""Rain Gutter Cleaning"",""Concrete Pressure Washing""]","{""facebook"":""http://www.facebook.com/monsterpowerwashingva/"",""twitter"":""https://www.twitter.com/monsterpowerwa1""}",,,,,,"https://www.manta.com/c/mk7dndv/monster-power-washing","https://www.manta.com/c/mk7dndv/monster-power-washing","mk7dndv"
"Broward Pressure Washing","Florida","1799","(95***932***16","https://www.browardpressurewashing.com","[""Construction"",""Special Trade Contractors, NEC"",""Pressure Washers""]","Fort Lauderdale","United States","33312","{""friday"":false,""monday"":false,""saturday"":false,""sunday"":false,""wednesday"":false}","[""7:00 AM"",""7:00 AM"",""7:00 AM"",""7:00 AM"",""7:00 AM"",""7:00 AM"",""7:00 AM""]","[""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM"",""9:00 PM""]",26.1214405,-80.1766965,"unknown",,"7:00 AM","9:00 PM","2630 W Broward Blvd","Pressure Cleaning / Pressure Washing
- Your Florida market leaders in the pressure cleaning industry

- Experienced staff providing a full range of services

- A Broward-wide surface cleaning company

- Available for residential and commercial projects

- Latest machinery and cleaning techniques

- An outstanding reputation, fully insured and skilled","[""Pressure Cleaning"",""Pressure Washing""]","{""facebook"":""http://www.facebook.com/browardpressurewashingllc""}",,,,,"Bro***d P***sur*********","https://www.manta.com/c/m1rgnnx/broward-pressure-washing","https://www.manta.com/c/m1rgnnx/broward-pressure-washing","m1rgnnx"
"I Buy 509","Washington","6531","(50***588***12","http://ibuy509.com/","[""Real Estate"",""Real Estate Agents and Managers"",""Real estate brokers and agents""]","Spokane","United States","99202","{""friday"":false,""monday"":false,""saturday"":true,""sunday"":true,""wednesday"":false}","[""CLOSED"",""8:00 AM"",""8:00 AM"",""8:00 AM"",""8:00 AM"",""8:00 AM"",""CLOSED""]","[""CLOSED"",""5:00 PM"",""5:00 PM"",""5:00 PM"",""5:00 PM"",""5:00 PM"",""CLOSED""]",47.6538512,-117.4073447,"unknown",,"8:00 AM","5:00 PM","217 East 3rd Avenue","Spokane total fixer-upper or perfect condition, we want to buy your house!
Spokane total fixer-upper or perfect condition, we want to buy your house! Any condition, any size, there’s no easier way to sell. Contact Us Today!",,,,,,,"Mar*** Th***s","https://www.manta.com/c/mk1zr15/i-buy-509","https://www.manta.com/c/mk1zr15/i-buy-509","mk1zr15"
"Gene Brannam","Washington","4513","509***158***","null","[""Car Rental"",""Air Courier Services"",""Air Courier Services""]","Spokane","United States","99205",,,,47.6624221,-117.4207054,"Unknown",,,,,"Categorized under Air Courier Services. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4.",,,,"1 to 4",,,,"https://www.manta.com/c/mbngdbv/gene-brannam","https://www.manta.com/c/mbngdbv/gene-brannam","mbngdbv"
"Riaza, LLC","California","2084","209***844***","http://www.riazawines.com","[""Beverages"",""Wines, Brandy, and Brandy Spirits"",""Wineries""]","Lodi","United States","95240",,,,38.107528,-121.2680921,"Single Location",2012,,,"230 Dunsmuir Drive","Categorized under Wineries. Our records show it was established in 2012 and incorporated in CA. Current estimates show this company has an annual revenue of 146129 and employs a staff of approximately 2.",,,"146129","2",,,"Eri*** Ta***r","https://www.manta.com/c/mb0fpp2/riaza-llc","https://www.manta.com/c/mb0fpp2/riaza-llc","mb0fpp2"
"Callahan Creek","Kansas","6512","785***477***","http://www.callahancreek.com","[""Real Estate"",""Operators of Nonresidential Buildings"",""Office Buildings and Parks""]","Lawrence","United States","66044",,,,38.969076,-95.2351111,"unknown",1996,,,"805 New Hampshire Street null","Categorized under Advertising Agencies. Our records show it was established in 1996 and incorporated in KS. Current estimates show this company has an annual revenue of 13297505 and employs a staff of approximately 90.",,,"13297505","90",,,"Cyn***a M***e","https://www.manta.com/c/mm5bp7j/callahan-creek","https://www.manta.com/c/mm5bp7j/callahan-creek","mm5bp7j"
"Optrans America","New York","5731","518***233***","http://optransamerica.com","[""Shopping"",""Radio, Television, and Consumer Electronics Stores"",""Electronic Retailing""]","Albany","United States","12205",,,,42.7188948,-73.8392074,"unknown",1994,,,"12 Jupiter Lane # 4 null","Categorized under Electronic Parts. Our records show it was established in 1994 and incorporated in New York. Current estimates show this company has an annual revenue of 563542 and employs a staff of approximately 3.",,,"563542","3",,,"Aki***Hom***","https://www.manta.com/c/mm3rtyl/optrans-america","https://www.manta.com/c/mm3rtyl/optrans-america","mm3rtyl"
